author,category,name,name_id,novelurl,serialnumber,serialstatus
 定羽,玄幻奇幻,西游之灵,x.htm,http://www.23us.so/xiaoshuo/22367.html, 46302字, 连载中
 何处不染尘,玄幻奇幻,神魔供应商,x.htm,http://www.23us.so/xiaoshuo/14559.html, 999722字, 连载中
 小伈,玄幻奇幻,德猎,x.htm,http://www.23us.so/xiaoshuo/19803.html, 42088字, 连载中
 风云渡,玄幻奇幻,我与女侠有个约会,x.htm,http://www.23us.so/xiaoshuo/20628.html, 249989字, 连载中
 凰中鲤,玄幻奇幻,红莲魔尊,x.htm,http://www.23us.so/xiaoshuo/22624.html, 47924字, 连载中
 庄心月,玄幻奇幻,麒帝,x.htm,http://www.23us.so/xiaoshuo/20660.html, 48344字, 连载中
 一剑霜,玄幻奇幻,我能打印传送门,x.htm,http://www.23us.so/xiaoshuo/19985.html, 139487字, 连载中
 穿梭恒宇,玄幻奇幻,超级无敌寄生,x.htm,http://www.23us.so/xiaoshuo/22254.html, 1181448字, 连载中
 木鱼和尚,玄幻奇幻,随身带个侏罗纪,x.htm,http://www.23us.so/xiaoshuo/14668.html, 4495312字, 连载中
 西瓜帅猫,玄幻奇幻,都市之无敌王者,x.htm,http://www.23us.so/xiaoshuo/15123.html, 1956375字, 连载中
 不定型啫喱水,玄幻奇幻,兼职风水师,x.htm,http://www.23us.so/xiaoshuo/17729.html, 2040604字, 连载中
 橘子有盟主,玄幻奇幻,我要成为最完美的男人,x.htm,http://www.23us.so/xiaoshuo/18853.html, 310392字, 连载中
 二手男人当自强,都市言情,华娱之梦,x.htm,http://www.23us.so/xiaoshuo/17703.html, 118359字, 连载中
 兰翔他哥,都市言情,都市侠途,x.htm,http://www.23us.so/xiaoshuo/21029.html, 1177599字, 连载中
 睡醒的红龙,都市言情,我的老婆是偶像,x.htm,http://www.23us.so/xiaoshuo/17789.html, 369645字, 连载中
 顾念,都市言情,华缘到,x.htm,http://www.23us.so/xiaoshuo/11172.html, 669422字, 连载中
 小生小书虫,都市言情,重生最流风,x.htm,http://www.23us.so/xiaoshuo/17218.html, 343787字, 连载中
 蓝山语茶,都市言情,女总裁的铁血兵王,x.htm,http://www.23us.so/xiaoshuo/12895.html, 526917字, 连载中
 九灯和善,都市言情,超品巫师,x.htm,http://www.23us.so/xiaoshuo/22275.html, 46077字, 连载中
 济公移山,都市言情,逆流1999,x.htm,http://www.23us.so/xiaoshuo/20142.html, 95500字, 连载中
 拂晓晚霞,都市言情,兵王甜宠小娇妻,x.htm,http://www.23us.so/xiaoshuo/21743.html, 446917字, 连载中
 咖啡,都市言情,美女的近身护卫,x.htm,http://www.23us.so/xiaoshuo/695.html, 1922229字, 连载中
 小鱼吃龙肉,都市言情,修真的酋长,x.htm,http://www.23us.so/xiaoshuo/15126.html, 207391字, 连载中
 阅朗薪稀,都市言情,金融慈善家,x.htm,http://www.23us.so/xiaoshuo/15103.html, 165915字, 连载中
 劉雨辰,都市言情,这个世界没有乌托邦,x.htm,http://www.23us.so/xiaoshuo/19886.html, 116044字, 连载中
 纪文独孤,都市言情,万能私人教练,x.htm,http://www.23us.so/xiaoshuo/22623.html, 301131字, 连载中
 邪雪寒嫣,都市言情,烽华绝代,x.htm,http://www.23us.so/xiaoshuo/8680.html, 304401字, 连载中
 农夫渔父,都市言情,全娱乐游戏帝国,x.htm,http://www.23us.so/xiaoshuo/22584.html, 795895字, 连载中
 浮生夜尽,都市言情,天空仍灿烂,x.htm,http://www.23us.so/xiaoshuo/19481.html, 245945字, 连载中
 三胖,都市言情,重生之神级学霸,x.htm,http://www.23us.so/xiaoshuo/726.html, 625815字, 连载中
 乔治亚,都市言情,步川小姐的贫穷物语,x.htm,http://www.23us.so/xiaoshuo/4215.html, 100486字, 连载中
 风起天阑,都市言情,王牌保镖,x.htm,http://www.23us.so/xiaoshuo/947.html, 2060684字, 连载中
 冷风无奈.CS,都市言情,捡个系统当明星,x.htm,http://www.23us.so/xiaoshuo/15191.html, 389606字, 连载中
 原点遐想.QD,都市言情,物流人生,x.htm,http://www.23us.so/xiaoshuo/20467.html, 168144字, 连载中
 职业偷懒,都市言情,皇子的文娱霸业,x.htm,http://www.23us.so/xiaoshuo/20255.html, 373777字, 连载中
 五彩贝壳,都市言情,神级大矿主,x.htm,http://www.23us.so/xiaoshuo/14260.html, 1591197字, 连载中
 小三大佬,都市言情,神级客栈,x.htm,http://www.23us.so/xiaoshuo/21959.html, 270471字, 连载中
 执笔封神,玄幻奇幻,都市武道狂徒,x.htm,http://www.23us.so/xiaoshuo/21777.html, 312055字, 连载中
 风景饰梦,玄幻奇幻,神话潘德,x.htm,http://www.23us.so/xiaoshuo/21355.html, 250206字, 连载中
 夜与雪,玄幻奇幻,一刀劈开生死路,x.htm,http://www.23us.so/xiaoshuo/14703.html, 4047204字, 连载中
 深蓝椰子汁,玄幻奇幻,战歌之王,x.htm,http://www.23us.so/xiaoshuo/14968.html, 2335310字, 连载中
 nnnty,玄幻奇幻,吃出个末日,x.htm,http://www.23us.so/xiaoshuo/20402.html, 58555字, 连载中
 禹枫,玄幻魔法,武神天下,x.htm,http://www.23us.so/xiaoshuo/1726.html, 669726字, 连载中
 狼扮仙,玄幻奇幻,星际归来者,x.htm,http://www.23us.so/xiaoshuo/19586.html, 42988字, 连载中
 公子楚澜,玄幻奇幻,骨语师,x.htm,http://www.23us.so/xiaoshuo/20397.html, 68083字, 连载中
 L承,玄幻奇幻,玄体武神,x.htm,http://www.23us.so/xiaoshuo/22636.html, 22704字, 连载中
 菩提子虚,玄幻魔法,武神宿命,x.htm,http://www.23us.so/xiaoshuo/5102.html, 7522字, 连载中
 无上星空,玄幻奇幻,领主养成手册,x.htm,http://www.23us.so/xiaoshuo/19228.html, 1320070字, 连载中
 苏忆绯,玄幻奇幻,我可能是个假使徒,x.htm,http://www.23us.so/xiaoshuo/19531.html, 34996字, 连载中
 伯克霍夫,玄幻奇幻,连环杀手在美国,x.htm,http://www.23us.so/xiaoshuo/15450.html, 469484字, 连载中
 持笔操墨为生计,武侠修真,不灭神途,x.htm,http://www.23us.so/xiaoshuo/1546.html, 48411字, 连载中
 指云笑天道,武侠修真,沧狼行,x.htm,http://www.23us.so/xiaoshuo/271.html, 8177字, 连载中
 说梦者,武侠仙侠,许仙志,x.htm,http://www.23us.so/xiaoshuo/16600.html, 5458926字, 完本
 土疙瘩的爱情,武侠修真,擎天一棍,x.htm,http://www.23us.so/xiaoshuo/14115.html, 867638字, 连载中
 冷面三尺剑,武侠仙侠,破天诛仙,x.htm,http://www.23us.so/xiaoshuo/16645.html, 84230字, 连载中
 猥琐的巨人,武侠仙侠,洪炉传,x.htm,http://www.23us.so/xiaoshuo/16510.html, 516044字, 连载中
 寐长生,武侠修真,寐长生,x.htm,http://www.23us.so/xiaoshuo/5568.html, 96806字, 连载中
 图猫猫,武侠修真,回归仙班,x.htm,http://www.23us.so/xiaoshuo/13364.html, 27057字, 连载中
 浪漫烟花月,武侠修真,天界仙奴,x.htm,http://www.23us.so/xiaoshuo/4640.html, 221036字, 连载中
