house_area,house_fitmend,house_located,house_name,house_room,house_towards,total_price,unit_price
156,精装,青塔,天鸿美域 ,4室1厅,南 北,930,59300
60,简装,南沙滩,南沙滩小区 ,3室1厅,南 北,395,65010
73,精装,四惠,壹线国际 ,2室1厅,东,465,63026
56,毛坯,五棵松,金沟河3号院 ,2室1厅,南 北,400,70922
130,简装,亦庄,浉城百丽 ,2室1厅,南 北,650,49778
185,精装,西直门,时代之光名苑 ,3室1厅,西南,1500,80654
65,精装,西二旗,铭科苑 ,2室1厅,南 北,440,67693
82,简装,滨河西区,承泽苑 ,2室1厅,南 北,330,40200
65,简装,赵公口,南顶村 ,2室1厅,西北,320,48603
89,简装,酒仙桥,梵谷水郡 ,2室1厅,西南 西,540,60525
109,精装,惠新西街,千鹤家园 ,2室1厅,西南,768,70459
90,精装,望京,望京西园二区 ,2室1厅,南,560,61879
133,简装,惠新西街,千鹤家园 ,3室1厅,西南 北,948,70858
101,精装,科技园区,怡海花园富润园 ,2室1厅,西南,600,59067
126,精装,奥林匹克公园,京师园 ,3室1厅,南 北,1260,99692
84,简装,角门,怡然家园5号院 ,2室1厅,南 北,450,53223
62,简装,华威桥,南新园 ,2室1厅,南 北,379,60341
71,精装,知春路,蓟门东里 ,2室1厅,南,580,81153
61,简装,沙河,北街家园六区 ,2室1厅,东,308,49928
170,精装,回龙观,通达园 ,4室1厅,南 北,680,39991
150,精装,望京,圣馨大地 ,3室2厅,西南,930,61881
71,精装,惠新西街,惠新西街小区 ,3室1厅,东南 北,550,77465
56,简装,安定门,青年湖南里 ,2室1厅,南,538,94986
97,精装,大望路,乐成豪丽 ,2室1厅,西南,749.8,76597
51,精装,常营,苹果派 ,1室1厅,北,329,63379
171,精装,天通苑,天通苑东三区 ,3室2厅,南 北,526,30653
111,简装,回龙观,龙跃苑一区 ,3室1厅,南 北,495,44316
54,简装,西罗园,西罗园北路 ,2室1厅,南 北,310,56704
62,精装,新街口,东新开胡同 ,2室1厅,南,700,112904
102,精装,望京,望京西园三区 ,2室1厅,西南,690,67535
63,精装,西罗园,西罗园一区 ,2室1厅,南 西 北,369,57937
49,简装,白纸坊,建功南里 ,1室1厅,东南,420,85210
145,简装,亦庄,春华屋 ,3室1厅,东 西,600,41110
151,简装,亚运村小营,世纪村西区 ,4室2厅,东南,1020,67465
91,精装,太阳宫,太阳公元 ,2室1厅,南,1230,134780
154,精装,望京,慧谷金色家园 ,2室2厅,南 北,1280,83112
75,简装,北关,西潞苑小区 ,2室1厅,南 北,300,39778
151,简装,西罗园,珠江骏景中区 ,3室1厅,南,755,50000
96,精装,万柳,蜂鸟家园 ,3室1厅,西北,1180,121952
141,精装,酒仙桥,丽都水岸 ,2室2厅,南 北,1190,84153
143,其他,天通苑,天通苑北一区 ,3室2厅,南 北,540,37689
99,精装,双井,CBD总部公寓二期 ,2室2厅,南 北,860,86843
83,简装,十里堡,京棉新城 ,2室2厅,南,488,58234
92,其他,菜户营,乐城 ,2室1厅,西,675,72989
32,精装,广安门,荣丰2008 ,1室1厅,南,405,123816
60,简装,顺义城,义宾北区 ,2室1厅,南 北,220,36400
144,精装,红庙,华业玫瑰东方 ,3室2厅,南 北,1200,83247
73,简装,西三旗,悦秀园 ,2室1厅,南 北,425,57667
134,毛坯,天通苑,天通苑北二区 ,3室1厅,南 北,465,34694
59,简装,甘家口,彩电宿舍 ,2室1厅,南 北,520,87395
103,简装,玉泉营,万年花城四期 ,2室1厅,南 北,699,67726
88,精装,北苑,润泽悦溪 ,2室1厅,南 北,699,78699
71,简装,方庄,芳星园三区 ,2室1厅,南,450,63292
130,精装,清河,橡树湾 ,3室1厅,南 北,1100,84086
58,精装,回龙观,龙博苑三区 ,1室1厅,南,352,59732
83,简装,紫竹桥,北洼西里 ,3室1厅,东南 东北,680,81928
63,精装,回龙观,领秀慧谷A区 ,1室1厅,南,305,48062
61,精装,苹果园,模式口南里 ,2室1厅,南 北,270,44227
61,简装,角门,司达小区 ,2室1厅,南 北,306,50041
55,简装,劲松,劲松一区 ,3室1厅,南 北,350,62668
101,精装,管庄,柏林爱乐三期 ,2室1厅,南 北,608,59702
69,精装,常营,金隅丽景园 ,2室1厅,西北,270,38660
120,精装,马家堡,益明园 ,3室2厅,南 北,855,70955
63,简装,四惠,京棉新城二厂 ,1室1厅,西南,330,52348
60,毛坯,天宁寺,天宁寺东里 ,2室1厅,东 西,450,73783
50,精装,定福庄,美然动力A3区 ,1室1厅,南,310,60928
95,简装,顺义城,仓上小区 ,2室1厅,南 北,320,33607
112,精装,梨园,云景里南大门 ,3室2厅,南 北,460,40868
159,精装,亦庄,星岛假日 ,3室2厅,南 北,800,50208
111,精装,大兴其它,玉璟园 ,3室2厅,南 北,420,37767
94,精装,顺义城,裕龙三区 ,2室1厅,南 北,410,43562
63,简装,阜成门,阜成门外北街 ,2室1厅,南,665,104890
80,简装,良乡,行宫园二里 ,2室1厅,东 南 西,230,28647
84,简装,北七家,燕城苑南区 ,2室1厅,南 北,305,36108
94,精装,旧宫,芳源里 ,2室1厅,南 北,440,46478
125,简装,回龙观,龙锦苑二区 ,3室1厅,南 北,580,46312
93,精装,清河,强佑清河新城 ,2室1厅,西,598,63651
89,简装,武夷花园,光讯花园 ,2室1厅,南 北,408,45379
73,精装,安贞,安贞西里 ,3室1厅,南 北,560,76056
101,精装,良乡,佳世苑小区 ,2室1厅,西南,308,30384
51,简装,清河,砂轮厂宿舍 ,2室1厅,南 北,335,65558
89,简装,花乡,宜兰园 ,2室1厅,南 北,370,41291
57,精装,甜水园,甜水园东里 ,2室1厅,南 北,320,56072
90,精装,六里桥,莲香园 ,2室1厅,东南,515,56875
186,精装,望京,大西洋新城A区 ,5室2厅,南,1560,83454
